File Path,Type,Size,Quality Score,Issues,Recommendations,Priority,Effort,Action
"docs/archive/DOCUMENTATION-SIMPLIFICATION-PROPOSAL.md","MD",282,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/archive/QUICK_SETUP_CLAUDE.md","MD",214,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/archive/QUICK_SETUP_CLAUDE_FIXED.md","MD",211,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/integration/for-projects/AGENT-PROMPT.md","MD",66,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/guides/workflows/GITHUB_ATTRIBUTION_GUIDE.md","MD",260,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"agents/curator/README.md","MD",434,"70/100","Missing last_updated date; No cross-references to related docs","See issues","High","15 min","UPDATE"
"agents/curator/metadata/PHASE3.md","MD",474,"70/100","Missing last_updated date; No cross-references to related docs","See issues","High","15 min","UPDATE"
"docs/archive/COMPREHENSIVE-TEST-REPORT.md","MD",607,"65/100","Missing last_updated date; File >500 lines but no TOC; No cross-references to related docs; Long file (607 lines)","See issues","High","15 min","UPDATE"
"agents/curator/QUALITY_STANDARDS.md","MD",522,"65/100","Missing last_updated date; File >500 lines but no TOC; No cross-references to related docs; Long file (522 lines)","See issues","High","15 min","UPDATE"
"docs/archive/BOOTSTRAP-GUIDE.md","MD",581,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (581 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/AGENT.md","MD",353,"70/100","No code examples; No cross-references to related docs","See issues","Medium","30 min","EXPAND"
"agents/curator/PROMPTS.md","MD",774,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (774 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/metadata/IMPLEMENTATION.md","MD",1026,"70/100","File >500 lines but no TOC; No cross-references to related docs; Very long file (1026 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/metadata/SKILLS.md","MD",932,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (932 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/metadata/SUMMARY.md","MD",650,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (650 lines)","See issues","Medium","30 min","EXPAND"
".claude/settings.json","JSON",70,"100/100","Good structure","See issues","Low","15 min","KEEP"
