File Path,Type,Size (lines),Quality Score,Issues,Recommendations,Priority,Effort,Action
.legacy/README.md,MD,49,80/100,"Good documentation of legacy archive","KEEP IN ARCHIVE - Well-documented legacy reference",Low,5 min,KEEP

.legacy/.claude/agents/claude-code-expert.md,MD,611,30/100,"Superseded by agents/curator/","DELETE - Replaced by product definition",Low,5 min,DELETE
.legacy/.claude/agents/kb-curator.md,MD,?,30/100,"Superseded by agents/curator/","DELETE - Replaced by product definition",Low,5 min,DELETE
.legacy/.claude/agents/subagents/DEBUGGER.md,MD,?,20/100,"Obsolete subagent pattern","DELETE - Subagent pattern deprecated",Low,5 min,DELETE
.legacy/.claude/agents/subagents/KNOWLEDGE-CURATOR.md,MD,709,25/100,"Superseded by agents/curator/","DELETE - Replaced by unified curator",Low,5 min,DELETE
.legacy/.claude/agents/subagents/README.md,MD,706,20/100,"Obsolete subagent documentation","DELETE - Subagent pattern deprecated",Low,5 min,DELETE
.legacy/.claude/agents/subagents/RESEARCHER.md,MD,568,25/100,"Superseded by skills/research-enhance","DELETE - Functionality in skills",Low,5 min,DELETE
.legacy/.claude/agents/subagents/VALIDATOR.md,MD,601,25/100,"Superseded by skills/kb-validate","DELETE - Functionality in skills",Low,5 min,DELETE

.legacy/.claude/commands/add-hook.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - No longer needed",Low,5 min,DELETE
.legacy/.claude/commands/create-skill.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - No longer needed",Low,5 min,DELETE
.legacy/.claude/commands/kb-create.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - Use tools/kb.py directly",Low,5 min,DELETE
.legacy/.claude/commands/kb-index.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - Use tools/kb.py directly",Low,5 min,DELETE
.legacy/.claude/commands/kb-query.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - Use tools/kb.py directly",Low,5 min,DELETE
.legacy/.claude/commands/kb-search.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - Use tools/kb.py directly",Low,5 min,DELETE
.legacy/.claude/commands/kb-sync.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - Use tools/kb.py directly",Low,5 min,DELETE
.legacy/.claude/commands/kb-validate.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - Use tools/kb.py directly",Low,5 min,DELETE
.legacy/.claude/commands/optimize-tokens.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - No longer needed",Low,5 min,DELETE
.legacy/.claude/commands/retrospective.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - No longer needed",Low,5 min,DELETE
.legacy/.claude/commands/review-claude-setup.md,MD,?,15/100,"Command aliases replaced by direct tool usage","DELETE - No longer needed",Low,5 min,DELETE

.legacy/.claude/hooks/check-artifact-updates.py,PY,?,10/100,"Obsolete feature - artifact updates no longer needed","DELETE - Feature deprecated",Low,5 min,DELETE
.legacy/.claude/hooks/check-shared-kb-updates.sh,SH,?,10/100,"Obsolete feature - replaced by git submodule","DELETE - Feature deprecated",Low,5 min,DELETE
.legacy/.claude/hooks/session-setup.sh,SH,?,10/100,"Legacy session setup - replaced by v5.1","DELETE - Superseded",Low,5 min,DELETE
.legacy/.claude/hooks/session-start.sh,SH,?,10/100,"Legacy session start hook","DELETE - Superseded",Low,5 min,DELETE

.legacy/.claude/skills/audit-quality/SKILL.md,MD,?,25/100,"Skill replaced by tools/kb.py","DELETE - Functionality in Python CLI",Low,5 min,DELETE
.legacy/.claude/skills/claude-code-architecture/SKILL.md,MD,?,20/100,"Skill about Claude Code itself","DELETE - Meta-documentation, not needed",Low,5 min,DELETE
.legacy/.claude/skills/claude-code-architecture/resources/agent-types.md,MD,?,20/100,"Claude Code architecture doc","DELETE - Meta-documentation",Low,5 min,DELETE
.legacy/.claude/skills/claude-code-architecture/resources/hook-system.md,MD,996,35/100,"Detailed hooks documentation","EXTRACT & DELETE - Check for unique patterns vs claude-code domain",Medium,30 min,EXTRACT
.legacy/.claude/skills/claude-code-architecture/resources/progressive-disclosure.md,MD,784,40/100,"Progressive disclosure pattern","EXTRACT & DELETE - Check if in claude-code domain",Medium,30 min,EXTRACT
