file_path,type,consistency_score,issues,recommendations,priority,effort,action
domains\claude-code\agent-instructions\kb-curator.yaml,YAML,65/100,Missing version field; Missing category; Missing last_updated,STANDARDIZE,High,20 min,STANDARDIZE
domains\postgresql\errors.yaml,YAML,83/100,Non-standard version format; ID format: POSTGRES-P001; ID format: POSTGRES-P002,UPDATE,Medium,20 min,UPDATE
domains\vps\errors\logs_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\errors\memory_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\errors\networking_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\patterns\backup-automation_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\patterns\best-practices_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\patterns\nginx-analytics_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\patterns\service-optimization_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\patterns\tailscale-funnel_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\vps\patterns\xray-management_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\universal\errors\redis-errors_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\universal\patterns\debugging-port-conflicts_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\universal\patterns\filesystem-management.yaml,YAML,75/100,Missing version field; Missing last_updated,UPDATE,Medium,10 min,UPDATE
domains\universal\patterns\filesystem-management_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\universal\patterns\git-workflow_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\python\errors\csrf-auth_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
domains\python\errors\imports_meta.yaml,YAML,75/100,Non-standard version format; Missing category; Missing last_updated,UPDATE,Medium,20 min,UPDATE
