File Path,Type,Size,Quality Score,Schema Score,Issues,Recommendations,Priority,Effort,Action
domains\catalog\categories.yaml,YAML,137,0,75,"Missing category field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 75/100",High,5 min,DELETE
domains\catalog\index.yaml,YAML,214,0,70,"Missing category field; Invalid last_updated format: 2026-01-07T10:00:00Z; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\postgresql\errors.yaml,YAML,972,95,65,"Error 0: Missing scope; Error 1: Missing scope; Error 2: Missing scope; Error 3: Missing scope; Error 4: Missing scope; Error 5: Missing scope; Error 6: Missing scope; Missing scope","Quality: 95/100, Schema: 65/100",Medium,20 min,UPDATE
domains\vps\errors\logs.yaml,YAML,179,90,90,"Error 0: Invalid ID format VPS-LOG-001 (expected CATEGORY-NNN); Error 1: Invalid ID format VPS-LOG-002 (expected CATEGORY-NNN); Missing tags","Quality: 90/100, Schema: 90/100",Medium,15 min,UPDATE
domains\vps\errors\logs_meta.yaml,YAML,77,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\errors\memory.yaml,YAML,276,90,85,"Error 0: Invalid ID format VPS-MEM-001 (expected CATEGORY-NNN); Error 1: Invalid ID format VPS-MEM-002 (expected CATEGORY-NNN); Error 2: Invalid ID format VPS-MEM-003 (expected CATEGORY-NNN); Missing tags","Quality: 90/100, Schema: 85/100",Low,15 min,STANDARDIZE
domains\vps\errors\memory_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\errors\networking.yaml,YAML,296,90,85,"Error 0: Invalid ID format VPS-NET-001 (expected CATEGORY-NNN); Error 1: Invalid ID format VPS-SEC-001 (expected CATEGORY-NNN); Error 2: Invalid ID format VPS-SEC-002 (expected CATEGORY-NNN); Missing tags","Quality: 90/100, Schema: 85/100",Low,15 min,STANDARDIZE
domains\vps\errors\networking_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\patterns\backup-automation.yaml,YAML,100,25,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags","Quality: 25/100, Schema: 100/100",High,5 min,DELETE
domains\vps\patterns\backup-automation_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\patterns\best-practices.yaml,YAML,300,25,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags","Quality: 25/100, Schema: 100/100",High,5 min,DELETE
domains\vps\patterns\best-practices_meta.yaml,YAML,189,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\patterns\nginx-analytics.yaml,YAML,137,25,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags","Quality: 25/100, Schema: 100/100",High,5 min,DELETE
domains\vps\patterns\nginx-analytics_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\patterns\service-optimization.yaml,YAML,147,25,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags","Quality: 25/100, Schema: 100/100",High,5 min,DELETE
domains\vps\patterns\service-optimization_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\patterns\tailscale-funnel.yaml,YAML,152,25,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags","Quality: 25/100, Schema: 100/100",High,5 min,DELETE
domains\vps\patterns\tailscale-funnel_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\vps\patterns\xray-management.yaml,YAML,74,25,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags","Quality: 25/100, Schema: 100/100",High,5 min,DELETE
domains\vps\patterns\xray-management_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\universal\agent-instructions\base-instructions.yaml,YAML,797,0,70,"Unusual version: {'current': '1.0', 'last_updated': '2026-01-06', 'backward_compatible': True, 'deprecation_notice': None}; Missing category field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\universal\errors\redis-errors.yaml,YAML,156,35,60,"Missing version field; Missing last_updated field; Error 0: Missing scope; Error 0: Missing solution; Missing solution entirely; Missing prevention section; Missing tags; Missing scope","Quality: 35/100, Schema: 60/100",High,5 min,DELETE
domains\universal\errors\redis-errors_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\universal\patterns\agent-accountability.yaml,YAML,330,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\agent-auto-configuration.yaml,YAML,629,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\AGENT-BACKEND-ENGINEER-001.yaml,YAML,225,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\AGENT-BUSINESS-ANALYST-001.yaml,YAML,449,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\AGENT-CODE-REVIEWER-001.yaml,YAML,72,50,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
