File Path,Type,Size,Token Estimate,Issues,Optimization Strategy,Priority,Effort,Action
agents/curator/PROMPTS.md,MD,774 lines,~3500 tokens,"Single file with 7 categories of prompt templates, well-structured but large","SPLIT into 7 topic-specific files (entry-analysis.yaml, research-enhancement.yaml, etc.)",Medium,45 min,SPLIT
agents/curator/metadata/IMPLEMENTATION.md,MD,1026 lines,~4500 tokens,"8 major parts with code examples, technical implementation guide","SPLIT into 8 implementation guides (metadata-operations.md, usage-tracking.md, etc.)",High,60 min,SPLIT
agents/curator/metadata/SKILLS.md,MD,932 lines,~4200 tokens,"8 major skills with detailed examples and outputs","SPLIT into individual skill files or use progressive disclosure",High,45 min,SPLIT
agents/curator/WORKFLOWS.md,MD,909 lines,~4100 tokens,"Comprehensive workflow documentation","Use progressive disclosure with @references",Medium,30 min,PROGRESSIVE_DISCLOSURE
agents/curator/metadata/ARCHITECTURE.md,MD,640 lines,~2900 tokens,"Detailed architecture documentation","Use progressive disclosure with @references",Medium,30 min,PROGRESSIVE_DISCLOSURE
agents/curator/metadata/SUMMARY.md,MD,650 lines,~2900 tokens,"Executive summary of metadata system","CONDENSE to 300 lines with @references for details",Medium,30 min,CONDENSE
agents/curator/SKILLS.md,MD,657 lines,~3000 tokens,"Duplicate of metadata/SKILLS.md content","CONSOLIDATE - Keep only one version",Medium,15 min,CONSOLIDATE
agents/curator/AGENT.md,MD,unknown,~2000 tokens,"Contains v3.0 references (should be v5.1)","UPDATE version references",Low,15 min,UPDATE
agents/curator/DEPLOYMENT.md,MD,unknown,~1500 tokens,"Title mentions v3.0 (should be v5.1)","UPDATE version references",Low,10 min,UPDATE
docs/ARD.md,MD,1388 lines,~6300 tokens,"Architecture reference for v4.0 (should be v5.1)","UPDATE version + use progressive disclosure",High,45 min,UPDATE+OPTIMIZE
docs/PRD.md,MD,1047 lines,~4800 tokens,"Product requirements document, historical","ARCHIVE if obsolete or optimize with progressive disclosure",Medium,30 min,ARCHIVE
CHANGELOG.md,MD,760 lines,~3400 tokens,"Historical version history, important but large","Keep last 5 versions active, archive older entries",Low,30 min,OPTIMIZE
